,loss
0,12.530797511339188
1,8.899893164634705
2,7.971294537186623
3,7.333661809563637
4,6.7985953241586685
5,6.334650635719299
6,5.9355481415987015
7,5.5363789498806
8,5.159017011523247
9,4.852444544434547
10,4.583435527980328
11,4.333259604871273
12,4.029354691505432
13,3.7818463668227196
14,3.5982741340994835
15,3.3930679112672806
16,3.203077919781208
17,2.9715059250593185
18,2.8289438858628273
19,2.6987964287400246
20,2.534272260963917
21,2.4050361774861813
22,2.277666687965393
23,2.171003993600607
24,2.053809627890587
25,1.9638061299920082
26,1.8604260422289371
27,1.7892082668840885
28,1.7152169272303581
29,1.6149227060377598
30,1.5393803007900715
31,1.469868641346693
32,1.4305438958108425
33,1.3754612728953362
34,1.3347644750028849
35,1.2796187438070774
36,1.23901960067451
37,1.2075095623731613
38,1.1734362598508596
39,1.1283057183027267
40,1.0832731928676367
41,1.0747903883457184
42,1.025123791769147
43,1.0269088856875896
44,1.048983896151185
45,1.0307570062577724
46,0.9900758676230907
47,0.9627195578068495
48,0.9359266348183155
49,0.9218998178839684
50,0.8926292359828949
51,0.8795292880386114
52,0.8972630146890879
53,0.8835898526012897
54,0.8516911268234253
55,0.847237242385745
56,0.8402448333799839
57,0.8396233785897493
58,0.8261825386434793
59,0.8174894917756319
60,0.8324166461825371
61,0.8339036144316196
62,0.8053774777799845
63,0.800616467371583
64,0.8210619036108255
65,0.7798185832798481
66,0.769817179068923
67,0.7883805055171251
68,0.7808715859428048
69,0.7713730148971081
70,0.7655491959303617
71,0.7928944369778037
72,0.7614178638905287
73,0.7568630240857601
74,0.7634495124220848
75,0.7454849183559418
76,0.8017226476222277
77,0.841365734115243
78,0.7724665319547057
79,0.747135765850544
80,0.7381433490663767
81,0.7372697433456779
82,0.7327251629903913
83,0.7439719485118985
84,0.7276688246056437
85,0.728590602055192
86,0.7313623493537307
87,0.7331102276220918
88,0.7350630201399326
89,0.7511928118765354
90,0.7769857700914145
91,0.7340080440044403
92,0.7155507374554873
93,0.7277788277715445
94,0.7221358101814985
95,0.7217312725260854
96,0.720111133530736
97,0.7063866574317217
98,0.7060264442116022
99,0.7114874655380845
100,0.7174885254353285
101,0.7029413264244795
102,0.6930743530392647
103,0.6978103695437312
104,0.6882365942001343
105,0.6904943063855171
106,0.6905970918014646
107,0.7116275746375322
108,0.7025212459266186
109,0.7030408140271902
110,0.6901290472596884
111,0.6939860377460718
112,0.709588672965765
113,0.6752194995060563
114,0.6759501015767455
115,0.6745872143656015
116,0.6806231737136841
117,0.6860359441488981
118,0.6679072203114629
119,0.6744475048035383
120,0.6654108921065927
121,0.6713907122612
122,0.6944189518690109
123,0.6717818444594741
124,0.665257815271616
125,0.6600237600505352
126,0.6607868503779173
127,0.6676908228546381
128,0.6555536882951856
129,0.648575970903039
130,0.6476163687184453
131,0.6705571878701448
132,0.6692324597388506
133,0.672395559027791
134,0.6612771283835173
135,0.6694641932845116
136,0.6470007766038179
137,0.6503377063199878
138,0.6643707612529397
139,0.6407472807914019
140,0.6439332701265812
141,0.6491967020556331
142,0.7065863600000739
143,0.690664803609252
144,0.6652368055656552
145,0.6601677695289254
146,0.6490589920431376
147,0.6283748587593436
148,0.6259381109848619
149,0.6379837263375521
150,0.6275973068550229
151,0.6452449504286051
152,0.6392280757427216
153,0.6429985286667943
154,0.7181682353839278
155,0.6479396419599652
156,0.62981485016644
157,0.6287223482504487
158,0.6211515357717872
159,0.6217189896851778
160,0.6364362360909581
161,0.6307246033102274
162,0.6205426510423422
163,0.6236488604918122
164,0.6187460292130709
165,0.6241694698110223
166,0.6242989581078291
167,0.6238105790689588
168,0.6260142344981432
169,0.613024964928627
170,0.6124234423041344
171,0.6020365562289953
172,0.6109035154804587
173,0.6069625113159418
174,0.6126817436888814
175,0.6111857565119863
176,0.6052714604884386
177,0.5963414674624801
178,0.6182163842022419
179,0.6097253207117319
180,0.6029823245480657
181,0.6027052504941821
182,0.612839562818408
183,0.5917999753728509
184,0.5944292359054089
185,0.6026015402749181
186,0.5897774677723646
187,0.5896666757762432
188,0.608866318129003
189,0.6149018071591854
190,0.5916357012465596
191,0.5783118642866611
192,0.5865827742964029
193,0.5798123646527529
194,0.5784876858815551
195,0.5881894361227751
196,0.5889595234766603
197,0.5928897997364402
198,0.5868435259908438
199,0.5776474019512534
200,0.5780585762113333
201,0.578664630651474
202,0.5808889912441373
203,0.5802446259185672
204,0.5884482655674219
205,0.5795081239193678
206,0.5788477743044496
207,0.5735399918630719
208,0.6084980629384518
209,0.5851521221920848
210,0.5792207987979054
211,0.5790849840268493
212,0.595428142696619
213,0.5840832805261016
214,0.5587426433339715
215,0.5600521825253963
216,0.5522329565137625
217,0.5621134340763092
218,0.5664310920983553
219,0.5644968589767814
220,0.5563591802492738
221,0.5792783871293068
222,0.5725208595395088
223,0.5608238680288196
224,0.5558867054060102
225,0.5609600618481636
226,0.5473680775612593
227,0.5522616598755121
228,0.5541225727647543
229,0.5548324882984161
230,0.5478515001013875
231,0.6173732411116362
232,0.5840914528816938
233,0.5633165836334229
234,0.5468072192743421
235,0.5348333297297359
236,0.5354515686631203
237,0.5318218246102333
238,0.5430560261011124
239,0.5705498559400439
240,0.5568820247426629
241,0.5348289543762803
242,0.5442111352458596
243,0.5341271152719855
244,0.5509455716237426
245,0.5375254778191447
246,0.5266541372984648
247,0.532692201435566
248,0.5339438114315271
249,0.5411772923544049
250,0.5312675973400474
251,0.5314264325425029
252,0.5306636625900865
253,0.5397243965417147
254,0.5291883600875735
255,0.5281607313081622
256,0.5288019813597202
257,0.5304653150960803
258,0.5295089520514011
259,0.5256512323394418
260,0.5136849312111735
261,0.5118268933147192
262,0.5140413399785757
263,0.5222027832642198
264,0.5235281754285097
265,0.5189538924023509
266,0.5126827964559197
267,0.5418416820466518
268,0.523092339746654
269,0.5183411976322532
270,0.5074500683695078
271,0.4936220170930028
272,0.4992880681529641
273,0.5223503513261676
274,0.5304760606959462
275,0.5087614608928561
276,0.5053596384823322
277,0.5019969260320067
278,0.4977401178330183
279,0.5134725132957101
280,0.5101941777393222
281,0.4990723570808768
282,0.5581031972542405
283,0.5044886199757457
284,0.5058545982465148
285,0.49370167683809996
286,0.49560046289116144
287,0.4930276442319155
288,0.5032729553058743
289,0.4887946639209986
290,0.4892497081309557
291,0.49003051687031984
292,0.4997274111956358
293,0.4850957067683339
294,0.5098900068551302
295,0.5346772838383913
296,0.5047096200287342
297,0.48122365958988667
298,0.4805350312963128
299,0.4788331715390086
