,loss
0,16.610986649990082
1,8.437124788761139
2,6.318906143307686
3,5.278228968381882
4,4.623250640928745
5,4.092919334769249
6,3.6780510023236275
7,3.4002517610788345
8,3.114239849150181
9,2.882137894630432
10,2.6758181899785995
11,2.526129223406315
12,2.352908033877611
13,2.222789317369461
14,2.099528096616268
15,1.9946413114666939
16,1.9152900092303753
17,1.833940051496029
18,1.7520429268479347
19,1.719106551259756
20,1.646098181605339
21,1.5850297920405865
22,1.5574464537203312
23,1.532381810247898
24,1.4836078323423862
25,1.450859222561121
26,1.452005498111248
27,1.4130966030061245
28,1.3686144668608904
29,1.3516258243471384
30,1.350416762754321
31,1.3376663867384195
32,1.3120595403015614
33,1.3000130392611027
34,1.2848186194896698
35,1.2837185841053724
36,1.2579570729285479
37,1.2616225220263004
38,1.2427883595228195
39,1.230669530108571
40,1.2273324020206928
41,1.2257250249385834
42,1.2162189297378063
43,1.1903972085565329
44,1.1875841598957777
45,1.1965433787554502
46,1.186843516305089
47,1.1809017732739449
48,1.1721370201557875
49,1.1662491280585527
50,1.1711482852697372
51,1.1560309082269669
52,1.1530528590083122
53,1.1501284781843424
54,1.1489336658269167
55,1.1479201409965754
56,1.1443059276789427
57,1.13219746761024
58,1.1212122682482004
59,1.1251051984727383
60,1.1292521990835667
61,1.121680112555623
62,1.1167035941034555
63,1.1247542947530746
64,1.1081324946135283
65,1.118669694289565
66,1.0973075088113546
67,1.0978782773017883
68,1.101271077990532
69,1.0993095971643925
70,1.0872103404253721
71,1.0989419631659985
72,1.093432454392314
73,1.083207380026579
74,1.08483169041574
75,1.0846291705965996
76,1.0659267455339432
77,1.0780211798846722
78,1.0866505671292543
79,1.067462271079421
80,1.064737442880869
81,1.0657772347331047
82,1.0676207188516855
83,1.055345507338643
84,1.0658734366297722
85,1.0566819328814745
86,1.0502433776855469
87,1.0534823704510927
88,1.0482826586812735
89,1.0478653963655233
90,1.0489986054599285
91,1.0413139276206493
92,1.0435708407312632
93,1.0453348625451326
94,1.0396851226687431
95,1.0305041335523129
96,1.0299206357449293
97,1.033475672826171
98,1.0370958261191845
99,1.026799002662301
100,1.0187561586499214
101,1.0194176863878965
102,1.0277906376868486
103,1.020463403314352
104,1.018417401239276
105,1.0162841137498617
106,1.0140077881515026
107,1.0123454220592976
108,1.0080359727144241
