,lossG,lossD
0,3.509857416152954,3.4660807847976685
1,3.4937893748283386,3.4658684134483337
2,3.4807825684547424,3.465753197669983
3,3.471905291080475,3.46577650308609
4,3.4674001932144165,3.4658267498016357
5,3.465957999229431,3.465914249420166
6,3.465483546257019,3.4661221504211426
7,3.4664700031280518,3.4657891988754272
8,3.4663817286491394,3.4660470485687256
9,3.465905547142029,3.4658926725387573
10,3.4658982157707214,3.465843439102173
11,3.465697228908539,3.466227948665619
12,3.465413272380829,3.465811014175415
13,3.4657474756240845,3.4659862518310547
14,3.465775191783905,3.4658108949661255
15,3.4662281274795532,3.465697228908539
16,3.465688169002533,3.4656407237052917
17,3.465599775314331,3.465928375720978
18,3.4658332467079163,3.4658862948417664
19,3.4656235575675964,3.465419352054596
20,3.4660450220108032,3.4658132791519165
21,3.4662904739379883,3.4656203985214233
22,3.466506242752075,3.465490460395813
23,3.466500997543335,3.4652071595191956
24,3.4640182852745056,3.4661577343940735
25,3.465003788471222,3.465691089630127
26,3.4654250741004944,3.465458571910858
27,3.467451572418213,3.4649327397346497
28,3.4655134081840515,3.4649009108543396
29,3.4600024819374084,3.467064142227173
30,3.466724395751953,3.467042863368988
31,3.468408763408661,3.464291036128998
32,3.4699937105178833,3.4612708687782288
33,3.4622884392738342,3.4661651849746704
34,3.4635836482048035,3.4684735536575317
35,3.466221868991852,3.4642995595932007
36,3.4668896198272705,3.46273273229599
37,3.4638823866844177,3.465465247631073
38,3.4757474660873413,3.4672390818595886
39,3.4762027263641357,3.462681293487549
40,3.4717081785202026,3.4628838300704956
41,3.4521796107292175,3.4673414826393127
42,3.460045874118805,3.4663913249969482
43,3.465569853782654,3.4606358408927917
44,3.4615713357925415,3.46278178691864
45,3.4768787026405334,3.4673372507095337
46,3.4627840518951416,3.471011221408844
47,3.472967028617859,3.465310513973236
48,3.4735867977142334,3.459488332271576
49,3.458418905735016,3.4641124606132507
50,3.4671512842178345,3.469521641731262
51,3.4549742341041565,3.4581143856048584
52,3.4624027013778687,3.4588268995285034
53,3.4741210341453552,3.474012851715088
54,3.46474689245224,3.4683937430381775
55,3.48487788438797,3.467711329460144
56,3.4739710688591003,3.464795231819153
57,3.4749932885169983,3.4624953866004944
58,3.47849577665329,3.465300142765045
59,3.4732012152671814,3.464686930179596
60,3.4611586332321167,3.463642954826355
61,3.4671708941459656,3.4662455320358276
62,3.4633308053016663,3.4655469059944153
63,3.4690706729888916,3.47285258769989
64,3.468839108943939,3.4678149223327637
65,3.465501308441162,3.47078275680542
66,3.4553381204605103,3.466835856437683
67,3.464219331741333,3.470743715763092
68,3.4678404927253723,3.4648433923721313
69,3.4656607508659363,3.4696589708328247
70,3.464634954929352,3.4663913249969482
71,3.4672621488571167,3.4649954438209534
72,3.4658085703849792,3.4650734066963196
73,3.470207393169403,3.463354229927063
74,3.463785946369171,3.46403568983078
75,3.464129626750946,3.4638020992279053
76,3.4658552408218384,3.466909110546112
77,3.4651902318000793,3.466387689113617
78,3.46817147731781,3.4700523614883423
79,3.4581964015960693,3.470422625541687
